"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6"
"ACSBG2",2.34375146484467e-07,2.16392939902116e-06,2.48443026662906e-06,6.64126162718879e-07,1.1088829955454e-06,4.28182918111444e-06
"ACSF2",2.97656436035273e-05,3.09132771288737e-07,1.43332515382446e-05,5.09163391417808e-06,2.32865429064533e-05,1.20299010326549e-05
"ACSF3",2.50781406738379e-05,1.51475057931481e-05,5.63774560504286e-05,1.48321509673883e-05,2.21776599109079e-07,2.03896627672116e-07
"ACSL1",2.34375146484467e-07,4.04963930388246e-05,1.91110020509927e-07,1.74886556182638e-05,1.84074577260536e-05,9.9909347559337e-06
"ACSL3",9.07031816894886e-05,4.17329241239796e-05,0.000109123821711169,0.000113122823049782,8.58275438552136e-05,6.91209567808474e-05
"ACSL4",3.04687690429807e-06,0.000168477360352362,7.73995583065206e-05,5.09163391417808e-06,6.43152137416329e-06,0.000351313889479056
"ACSL5",2.97656436035273e-05,3.09132771288737e-07,7.07107075886731e-06,6.64126162718879e-07,1.84074577260536e-05,2.58948717143588e-05
"ACSL6",7.031254394534e-07,3.40046048417611e-06,4.60575149428925e-05,0.000102939555221426,3.32664898663619e-06,9.07339993140917e-05
"ACSM1",1.00781312988321e-05,1.54566385644369e-06,5.73330061529782e-07,2.43512926330256e-06,1.1088829955454e-06,8.767554989901e-06
"ACSM3",2.57812661132913e-06,9.27398313866212e-07,5.73330061529782e-07,3.3206308135944e-06,1.55243619376355e-06,1.20299010326549e-05
